	primaryName	first	last	first.c	last.c	first.l	last.l	bigram	wv.exists
9689	Marof Achkar	Marof	Achkar	5	6.0	marof	achkar	marof_achkar	False
9690	Samih Achkouti	Samih	Achkouti	5	8.0	samih	achkouti	samih_achkouti	False
9691	Yordan Achkov	Yordan	Achkov	6	6.0	yordan	achkov	yordan_achkov	False
9692	Nikos Ahladis	Nikos	Ahladis	5	7.0	nikos	ahladis	nikos_ahladis	False
9693	Carl Achleitner	Carl	Achleitner	4	10.0	carl	achleitner	carl_achleitner	False
9694	Steffi Achleitner	Steffi	Achleitner	6	10.0	steffi	achleitner	steffi_achleitner	False
9695	Werner Achmann	Werner	Achmann	6	7.0	werner	achmann	werner_achmann	False
9696	Mohammed Achmed	Mohammed	Achmed	8	6.0	mohammed	achmed	mohammed_achmed	False
9697	Zehra Achmed	Zehra	Achmed	5	6.0	zehra	achmed	zehra_achmed	False
9698	Nan Triveni Achnas	Nan	Triveni Achnas	3	14.0	nan	triveni achnas	nan_triveni achnas	False
9699	Hubert d' Achon	Hubert	d' Achon	6	8.0	hubert	d' achon	hubert_d' achon	False
9700	Rodrigo Achondo	Rodrigo	Achondo	7	7.0	rodrigo	achondo	rodrigo_achondo	False
9701	Armando Achong	Armando	Achong	7	6.0	armando	achong	armando_achong	False
9702	Lorelei Achor	Lorelei	Achor	7	5.0	lorelei	achor	lorelei_achor	False
9703	Richard Achor	Richard	Achor	7	5.0	richard	achor	richard_achor	False
9704	Brett Achorn	Brett	Achorn	5	6.0	brett	achorn	brett_achorn	False
9705	John Achorn	John	Achorn	4	6.0	john	achorn	john_achorn	False
9706	Abdou Achouba	Abdou	Achouba	5	7.0	abdou	achouba	abdou_achouba	False
9707	Ahmed Achouba	Ahmed	Achouba	5	7.0	ahmed	achouba	ahmed_achouba	False
9708	Abdelwahab Achouri	Abdelwahab	Achouri	10	7.0	abdelwahab	achouri	abdelwahab_achouri	False
9709	Habiba Achrafi	Habiba	Achrafi	6	7.0	habiba	achrafi	habiba_achrafi	False
9710	M.R. Achrekar	M.R.	Achrekar	4	8.0	m.r.	achrekar	m.r._achrekar	False
9711	Robert Achs	Robert	Achs	6	4.0	robert	achs	robert_achs	False
9712	Samuel Achs	Samuel	Achs	6	4.0	samuel	achs	samuel_achs	False
9713	David Achtar	David	Achtar	5	6.0	david	achtar	david_achtar	False
9714	Johannes Achtelik	Johannes	Achtelik	8	8.0	johannes	achtelik	johannes_achtelik	False
